1	1	4.50
1	2	4.09
1	3	4.81
1	4	2.57
1	5	4.50
1	6	4.99
1	7	4.50
1	8	1.71
1	9	3.00
1	10	4.35
1	11	1.08
1	12	4.50
1	13	4.50
1	14	4.21
1	15	4.50
1	16	4.50
1	17	3.28
1	18	4.50
1	19	4.90
1	20	4.21
1	21	3.15
1	22	1.54
1	23	4.50
1	24	4.50
1	25	1.97
1	26	4.11
1	27	3.55
1	28	3.96
1	29	3.19
1	30	0.36
1	31	3.09
1	32	4.50
1	33	-0.13
1	34	2.94
1	35	-1.11
1	36	4.29
1	37	1.06
1	38	0.89
1	39	3.75
1	40	4.50
1	41	2.89
1	42	4.07
1	43	3.67
1	44	4.50
1	45	4.50
1	46	4.50
1	47	4.19
1	48	2.55
1	49	2.87
1	50	4.02
1	51	4.50
1	52	4.38
1	53	1.58
1	54	3.68
1	55	4.50
1	56	4.97
1	57	2.79
1	58	4.50
1	59	4.80
1	60	4.50
1	61	2.88
1	62	3.58
1	63	3.19
1	64	4.50
1	65	4.45
1	66	1.16
1	67	4.90
1	68	3.26
1	69	1.07
1	70	0.52
1	71	2.83
1	72	4.50
1	73	1.33
1	74	0.78
1	75	4.50
1	76	3.50
1	77	4.69
1	78	-0.65
1	79	3.11
1	80	4.63
1	81	4.50
1	82	4.55
1	83	3.42
1	84	4.57
1	85	2.64
1	86	4.50
1	87	2.00
1	88	4.54
1	89	3.20
1	90	1.26
1	91	4.50
1	92	4.98
1	93	3.95
1	94	1.10
1	95	4.50
1	96	3.23
1	97	4.23
1	98	4.77
1	99	4.50
1	100	4.50
1	101	2.83
1	102	2.99
1	103	-0.54
1	104	-0.20
1	105	4.68
1	106	2.34
1	107	3.07
1	108	3.25
1	109	4.50
1	110	1.42
1	111	4.50
1	112	-0.12
1	113	3.89
1	114	3.75
1	115	4.63
1	116	2.09
1	117	3.29
1	118	1.62
1	119	4.50
1	120	0.34
1	121	2.63
1	122	2.99
1	123	1.38
1	124	4.50
1	125	2.28
1	126	2.14
1	127	4.50
1	128	4.40
1	129	4.48
1	130	3.61
1	131	1.98
1	132	3.83
1	133	2.09
1	134	4.50
